"id_paciente";"dni";"nombre_completo";"fecha_de_nacimiento";"sexo";"telefono";"email";"direccion";"obra_social"
13;43001234;"Acosta, Valentina";"1996-12-05";"F";"1166009990";"valentina.acosta@outlook.com";"Mitre 1020";"No tiene"
2;31908775;"Esquivel, Martin";"1988-02-19";"M";"1134567890";"martinga@gmail.com";"Uriburu 831, Mar del Plata";"SWISS Medical"
8;39511222;"Fernández, Matías";"1985-11-03";"M";"1165984320";"matias.fernandez@hotmail.com";"Calle Rivadavia 554";"SWISS Medical"
6;43567990;"Godofredo, Mariano";"2010-07-30";"M";"1178901234";"marianito@gmail.com";"Cordoba 3456, Mar del Plata";"IOMA"
7;40222333;"Gómez, Lucía";"1990-04-15";"F";"1165478231";"lucia.gomez@gmail.com";"Av. Colón 1234";"No tiene"
16;40993333;"Herrera, Ignacio";"1989-03-10";"M";"1167002211";"ignacio.herrera@gmail.com";"Salta 431";"No tiene"
15;42334567;"López, Martina";"1994-10-19";"F";"1161234567";"martina.lopez@hotmail.com";"Independencia 789";"OSDE"
4;33665720;"Martinez Iraola, Esteban";"1986-10-22";"M";"1156789012";"estebanmi@gmail.com";"Irala 891, Miramar";"OSDE"
12;40771444;"Molina, Julián";"1987-07-12";"M";"1177774444";"julian.molina@gmail.com";"San Martín 301";"OSDE"
1;21456789;"Perez, Laura";"1980-05-12";"F";"1123456789";"laurip@hotmail.com";"Peña 3211, Chivilicoy";"SWISS Medical"
5;9453789;"Perez, Maria Esther";"1949-01-01";"F";"1167890123";"";"Arenales 6891, Batan";"SWISS Medical"
9;42888321;"Pérez, Sofía";"1998-06-21";"F";"1165987211";"sofia.perez@yahoo.com";"España 888";"OSDE"
10;41422555;"Ramírez, Diego";"1992-08-30";"M";"1154352178";"diego.ramirez@gmail.com";"Belgrano 455";"No tiene"
14;41778899;"Sosa, Tomás";"1991-05-27";"M";"1188881122";"tomas.sosa@gmail.com";"Dorrego 1550";"SWISS Medical"
11;41990123;"Torres, Camila";"2000-02-14";"F";"1167894322";"camila.torres@hotmail.com";"La Rioja 2201";"SWISS Medical"
3;13789989;"Zielinski, Jose Luis";"1976-11-09";"M";"1145678901";"";"Independencia 4311, Mar del Plata";"No tiene"
